CoverageChangePercent,CoveredLinesChange,TotalLinesChange
-0.006077655451508512,0,10
-0.006077655451508512,0,10
0.5842995973479453,193,0
0.5842995973479453,193,0
0.17559262510974671,58,0
0.17559262510974671,58,0
-1.5984087447003748,-451,452
0.8816528051253436,300,0
0.8816528051253436,300,0
0.19679257475180567,67,0
0.03330338799262256,14,13
0.03330338799262256,14,13
0.03330338799262256,14,13
0.03330338799262256,14,13
-0.6333620931698203,-154,256
-1.1545075331153924,-380,-10
-1.1545075331153924,-380,-10
1.2831871925697347,420,0
0.048883321621703835,16,0
0.0059562083103481545,5,14
0.0059562083103481545,5,14
0.0059562083103481545,5,14
-0.003141887646096464,-1,0
0.025071296499418194,8,0
-0.46787571637204595,-34,270
-0.46787571637204595,-34,270
0.04113412663434568,14,0
0.07740971091476645,29,0
0.0,0,0
0.06940736785904789,26,0
0.06940736785904789,26,0
0.005335467520339865,2,0
0.8010467010226674,300,0
0.0053400261661284976,2,0
-0.02937014391370396,-11,0
-0.02937014391370396,-11,0
-1.569967692841695,-588,0
0.0,0,0
0.0,0,0
-1.6901182815795779,-633,0
-1.6901182815795779,-633,0
0.1975809681467433,74,0
-0.056934995700652635,-21,1
-0.056934995700652635,-21,1
-0.00016506217446754512,1,3
-0.00016506217446754512,1,3
